id,group,album,First_(lp)_release,release_date,month,Selfdetermination,style,language,Language_2nd,,,,,,,,,City,sex,region
sing99,Sleep in Heads,On the Air,*,01.03.2019,mar,Progressive metal,metal,eng,,*,,*,*,*,*,*,*,Київ,mix,Центр
sing100,Anna Mia Quintet,Miasophy,*,16.11.2019,nov,new jazz,jazz,eng,укр,*,,*,*,*,*,,*,Київ,female,Центр
sing101,Atomic Simao,Levitation Loom Four,,22.12.2019,dec,"psychedelic jazz, instrumental",jazz,eng,,*,*,*,,*,*,*,*,Київ,male,Центр
sing102,Aero Benin,Aero Benin,*,07.09.2019,sep,psychedelic pop,indie,eng,fr,*,*,*,*,*,*,*,*,Київ,male,Центр
sing103,Indytronics (INDT),Palace,,15.05.2019,may,alternative,indie,eng,,*,*,,*,,,*,,Київ,male,Центр
sing104,Komissiya,R.Complex,*,14.09.2019,sep,alternative indie,indie,eng,,*,*,*,*,*,*,*,*,Київ,male,Центр
sing105,Дрофа,Keep Blossom In Your Head,,02.02,feb,"hip hop, rap",hip hop & rap,eng,,,*,,,,,,,Київ,male,Центр
sing106,Cape Cod,Echoes,,28.09.2019,sep,electronic house,electronic,eng,,*,*,,*,*,*,*,*,Київ,male,Центр
sing107,CEPASA,Dark Beauty,,05.11.2019,nov,Electronic,electronic,eng,,*,*,,*,*,*,*,*,Київ,male,Центр
sing108,Refinders,Skin Effect,*,22.06.2019,jun,"sinty pop, electronic",electronic,eng,,*,*,,*,*,*,*,*,Київ,male,Центр
sing109,stonefromthesky,Spirals,*,20.07.2019,jul,Electronic/Experimental,electronic,eng,,*,,*,*,*,*,*,,Київ,male,Центр
sing110,Postman,Everything is New,,09.07,jul,indie folk,country,eng,укр,*,*,,*,*,*,*,*,Київ,male,Центр
sing111,King Imagine,Femininho,,11.10.2019,oct,Experimental,avant-garde,eng,рос,,,*,,,,*,,Київ,male,Центр
sing112,Garden Krist ,Change of State,,02.04.2019,apr,electro,avant-garde,eng,,,*,,,,,,,Київ,mix,Центр
