"group","album","id","First_.lp._release","release_date","month","Selfdetermination","style","language","language_2nd","X","X.1","X.2","X.3","X.4","X.5","X.6","X.7","City","sex","region","longList","shortList","Название.трека","audio","image","ID.на.сайту.Аристократов","Ссылка.на.группу","listen","isaudio","aprize"
"Keepleer 18","Relictum","sing145","","03.04.2019","apr","Sludge","metal","дивна","","","","*","","","","*","","Чернігів","чоловіча","Північ",NA,NA,"","","https://www.neformat.com.ua/images/imagecache/material_680w/releases/a2758802536_10.jpg",20416,"https://www.facebook.com/Keepleer18/","https://badroad.bandcamp.com/album/relictum","","усі альбоми"
"KID - S","Сльози та Вогонь","sing146","","04.02","feb","rock/psy pop/experimental","rock","українська","","","","","","","","*","","Дніпро","чоловіча","Центр",NA,NA,"","","https://www.neformat.com.ua/images/imagecache/material_680w/releases/dd-SGah6MWY.jpg",20405,"https://www.facebook.com/groups/529674207387931/about/","https://www.youtube.com/watch?v=tntKGBXQFnY&list=PL8dEdGxsnhtyl9ijE3-kqRfw52dujJX6a","","усі альбоми"
"King Imagine","Femininho","sing147","","11.10.2019","oct","Experimental","avant-garde","мікс","рос","","","*","","","","*","","Київ","чоловіча","Київ",1,NA,"Femininho","King_Imagine_Femininho.mp3","https://3.bp.blogspot.com/-2VEu6EPLlSg/W9gunNsKBHI/AAAAAAAAFTY/V615SBUgnw0iXzE1tEdCnOlp8ZECx-X2gCLcBGAs/s400/%25D0%25BC%25D1%2583%25D0%25B7%25D1%258B%25D0%25BA%25D0%25B0.jpg",20236,"https://www.facebook.com/King-Imagine-aka-Bass-Assassin-173298599390330/","https://skprecords.bandcamp.com/album/king-imagine-femininho","yes","усі альбоми"
"King Imagine","Next Nowhere.exe","sing148","","08.08.2019","aug","electronic","electronic","немає","","","","*","","","","","","Київ","чоловіча","Київ",NA,NA,"","","http://freake.ru/uploads/music/2018-08/1533764051-3542.jpg",20366,"https://www.facebook.com/King-Imagine-aka-Bass-Assassin-173298599390330/","https://soundcloud.com/cota303/sets/king-imagine-next-nowhereexe","","усі альбоми"
"Kira Mazur","Мій Folk","sing149","*","16.10.2019","oct","Ethno. Folk","ethno","українська","","*","*","","*","","","*","*","Погребище","жіноча","Центр",NA,NA,"","","https://notatky.com.ua/wp-content/uploads/folk-400.jpg",20237,"https://www.facebook.com/kira.mazur.official/","https://itunes.apple.com/ua/album/%D0%BC%D1%96%D0%B9-folk/1438840816?l=ru","","усі альбоми"
"Komissiya","R.Complex","sing150","*","14.09.2019","sep","alternative indie","indie","англійська","","*","*","*","*","*","*","*","*","Київ","чоловіча","Київ",NA,NA,"","","https://i1.sndcdn.com/artworks-000405170751-a6v3aj-t500x500.jpg",20238,"https://www.facebook.com/komissiya/","https://soundcloud.com/masterskayalab/sets/komissiya-r-complex","","усі альбоми"
"Kozak System","Не моя","sing151","","30.03.2019","mar","folk-rock","rock","українська","","*","*","","*","*","*","*","*","Київ","чоловіча","Київ",NA,NA,"","","https://notatky.com.ua/wp-content/uploads/ks-ne-moya400.jpg",20239,"https://www.facebook.com/kozaksystemband","https://itunes.apple.com/ua/album/%D0%BD%D0%B5-%D0%BC%D0%BE%D1%8F/1361011073?l=uk","","усі альбоми"
"Kreker","LocoMotive","sing152","","01.04.2019","apr","hip-hop & rap","hip hop & rap","українська","","","*","*","","*","","*","","Івано-Франківськ","чоловіча","Захід",NA,NA,"","","https://f4.bcbits.com/img/a1978032873_10.jpg",20420,"","https://soundcloud.com/krekerprod/sets/locomotive?fbclid=IwAR0lRcyEBA0Rzo0z0Xzr0fsHOEIboGH4hY9SjfBz0InC31Dy65RRDqlDCQA","","усі альбоми"
"Kroda","SELBSTWELT REMASTERED","sing153","","02.10.2019","oct","Black Metal","metal","українська","","","","*","","","","*","","Львів ","чоловіча","Захід",NA,NA,"","","https://f4.bcbits.com/img/a3677994342_16.jpg",20240,"https://www.facebook.com/krodaua/","https://kroda.bandcamp.com/album/selbstwelt-remastered","","усі альбоми"
"KRUTЬ","Live Concert With Chamber Orchestra","sing154","","19.10.2019","oct","","indie","мікс","eng","*","","","*","","","","","Київ","жіноча","Київ",1,1,"Last Night (Live Orchestra)","KRUTЬ_Last_Night.mp3","https://cdns-images.dzcdn.net/images/cover/65781a196af84a8b8b24bb2509ecd52e/200x200-000000-80-0-0.jpg",20364,"https://www.facebook.com/bandurakrut/","https://play.google.com/store/music/album/KRUT%D0%AC_Live_Concert_With_Chamber_Orchestra?id=Bct5uphaqmky44no3ba7z2j7j74","yes","усі альбоми"
"KUBA","NO! Мене нема","sing155","*","25.07.2019","jul","hip hop","hip hop & rap","українська","","","*","","*","","","*","","Севастополь / Львів","чоловіча","Захід",NA,NA,"","","https://i1.sndcdn.com/avatars-000481559067-84u2r6-t500x500.jpg",20241,"https://www.facebook.com/kuba.bnd/","https://play.google.com/store/music/album/KUBA_NO_%D0%9C%D0%B5%D0%BD%D0%B5_%D0%BD%D0%B5%D0%BC%D0%B0?id=Bouiupdqjzdozdu4s2vvkl4syxu","","усі альбоми"
